#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
586,W5577517,Sld,116,Robert Par,Brampton,Northwest,1549000,1455000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-04-13,2022-04-18,TOP PRODUCE
587,W5592718,Sld,63,Amaranth,Brampton,Northwest,1549000,1565000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-04-22,2022-05-17,ROYAL LEPAG
588,W5558615,Sld,10,Haverstock,Brampton,Fletcher's Creek,1549800,1770000,Detached,2-Storey,5,2,5,Y,1,Double Car,Cen,Gas,2022-03-31,2022-04-02,RE/MAX REAL
589,W5545803,Sld,29,Maverick,Brampton,Sandringham,1550000,1425000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-03-22,2022-04-20,RE/MAX REAL
590,W5660136,Sld,55,Aldersgate,Brampton,Northwest,1550000,1629000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-06-15,2022-06-21,EXP REALTY.
591,W5627209,Sld,1,Timberwolf,Brampton,Vales of Caclemore,1579000,1560000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-05-20,2022-05-30,RE/MAX REAL
592,W5598115,Sld,10,Frobischer,Brampton,Sandringham,1589000,1550000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-04-30,2022-05-12,CENTURY 21
593,W5615558,Sld,57,Moldovan,Brampton,Sandringham,1589000,1546000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-05-12,2022-05-14,RE/MAX WEST
594,W5601585,Sld,37,Stonemount,Brampton,Sandringham,1598000,1655000,Detached,2-Storey,4,3,5,Y,1,Double Car,Cen,Gas,2022-05-03,2022-05-23,RE/MAX GOLD
595,W5555946,Sld,46,Gibbs,Brampton,Northwest,1599000,1690000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-03-30,2022-04-07,HOMELIFE/MI
